symbol,name,cik,sicCode,industryTitle,businessAddress,phoneNumber
"None","BERKSHIRE INVESTORS LLC","0001122645","","","BERKSHIRE PARTNERS, BOSTON MA 02116","6172270050",
"None","BERKSHIRE MULTIFAMILY CREDIT FUND IV, L.P.","0002025267","","","BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE FUND V L P","0001069736","","","ONE BOSTON PLACE, BOSTON MA 02108","6172270050",
"None","BERKSHIRE FUND XI-F, L.P.","0001991815","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","PCA BERKSHIRE OPPORTUNITIES FUND, L.P. - SERIES C (FUND XI)","0002011346","","","170 MASON STREET, GREENWICH CT 06830","212-476-9311",
"None","FIFTH BERKSHIRE ASSOCIATES LLC","0001267860","","","ONE BOSTON PLACE, BOSTON MA 02108","null",
"RAAC","BERKSHIRE GREY, INC.","0001824734","3569","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC","140 SOUTH ROAD, BEDFORD MA 01730","(833) 848-9900",
"RAACU","BERKSHIRE GREY, INC.","0001824734","3569","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC","140 SOUTH ROAD, BEDFORD MA 01730","(833) 848-9900",
"RAACW","BERKSHIRE GREY, INC.","0001824734","3569","GENERAL INDUSTRIAL MACHINERY & EQUIPMENT, NEC","140 SOUTH ROAD, BEDFORD MA 01730","(833) 848-9900",
"None","BERKSHIRE VALUE FUND VI-A, L.P.","0002025466","","","BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE VALUE FUND VI, L.P.","0002025931","","","BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE DI IC CO-INVEST, L.P.","0001973416","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE ENDEAVORS LLC","0001956893","","","380 POLARIS PARKWAY, WESTERVILLE OH 43082","6148956811",
"None","BERKSHIRE FUND XI ACCESS FUND RJ, L.P.","0002007818","","","C/O ICAPITAL PE GP, LLC, NEW YORK NY 10165","(212) 994-7400",
"None","BERKSHIRE INVESTORS IV LLC","0001505185","","","200 CLARENDON STREET, BOSTON MA 02116","617 227-0050",
"None","BERKSHIRE ON CLIFFBROOK LLC","0001990006","","","PO BOX 423, LA CENTER WA 98629","3204931523",
"None","BERKSHIRE XI ACCESS LLC","0001997801","","","200 WEST STREET, NEW YORK NY 10282-2198","212-902-1000",
"None","BERKSHIRE MULTIFAMILY CREDIT FUND IV-A, L.P.","0002025265","","","BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE XI ACCESS OFFSHORE LP","0001997790","","","200 WEST STREET, NEW YORK NY 10282-2198","212-902-1000",
"None","BERKSHIRE INVESTORS III LLC","0001505184","","","200 CLARENDON STREET, BOSTON MA 02116","617 227-0050",
"None","BERKSHIRE BRIDGE LOAN INVESTORS-MF1 III-A, L.P.","0001995086","","","BERKSHIRE RESIDENTIAL INVESTMENTS, BOSTON MA 02108","(617) 646-2300",
"None","BERKSHIRE DIGITAL INFRASTRUCTURE FUND, L.P.","0001926130","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE DIGITAL INFRASTRUCTURE FUND-B, L.P.","0001926129","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE FUND XI-LUX, SCSP","0001992576","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE DIGITAL INFRASTRUCTURE FUND-A, L.P.","0001926091","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE FUND XI-TE, L.P.","0001991798","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
"None","BERKSHIRE FUND XI (INTERNATIONAL) ACCESS FUND RJ, L.P.","0002008391","","","C/O ICAPITAL PE GP, LLC, NEW YORK NY 10165","(212) 994-7400",
"None","BERKSHIRE FUND XI STRATEGIC EXECUTIVES FUND","0001993931","","","171 GREENWICH AVENUE, THIRD FLOOR, GREENWICH CT 06830","(212) 476-9311",
"None","EIGHTH BERKSHIRE ASSOCIATES LLC","0001888111","","","200 CLARENDON STREET, BOSTON MA 02116-5009","(617) 227-0050",
"None","BERKSHIRE BRIDGE LOAN INVESTORS-MF1 III, L.P.","0001958058","","","C/O BERKSHIRE GROUP, BOSTON MA 02108","617-646-2300",
"None","PCA BERKSHIRE FUND XI","0001993925","","","171 GREENWICH AVENUE, THIRD FLOOR, GREENWICH CT 06830","(212) 476-9311",
"None","BERKSHIRE FUND XI, L.P.","0001991986","","","200 CLARENDON STREET, 35TH FLOOR, BOSTON MA 02116","(617) 227-0050",
